PID,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,mu9,mu10,mu11,mu12,mu13,mu14,mu15,mu16,mu17,mu18,mu19,mu20,mu21,mu22,mu23,mu24,mu25,mu26,mu27,mu28,mu29,mu30,mu31,mu32,logvar1,logvar2,logvar3,logvar4,logvar5,logvar6,logvar7,logvar8,logvar9,logvar10,logvar11,logvar12,logvar13,logvar14,logvar15,logvar16,logvar17,logvar18,logvar19,logvar20,logvar21,logvar22,logvar23,logvar24,logvar25,logvar26,logvar27,logvar28,logvar29,logvar30,logvar31,logvar32,reconstruction_error
1002688,1.9711668,1.1031888,0.28308177,-2.0385761,-1.1943041,-2.3101797,-0.76490897,0.21618006,-0.05255297,-0.48391032,0.752707,1.3856757,1.4252154,-0.08749163,-1.0713294,-0.42395502,0.39321092,-0.3837216,1.0295078,0.46976453,0.40920702,-0.98492426,-0.1494287,-0.42409018,-0.6752503,0.67526186,0.25551695,-1.0263112,-0.99975765,-0.6637492,-0.18092954,0.8855336,0.16286366,0.676131,-0.5726889,-0.48636854,-0.1457329,-0.30219942,-0.90632606,0.27433726,0.094605476,1.127956,0.43729568,0.6980161,0.24523447,-0.54096097,-0.24585855,0.6453319,-0.1732206,0.046007022,-0.85337365,0.24542424,-0.49838874,0.20393115,-0.22920299,-0.4172505,0.1051278,-0.32279038,0.0658206,-0.46330094,-0.58390534,-0.7374536,0.60988015,0.3986883,-0.011712048,-0.76284385,-0.3262239,-0.48594743,-0.26652032,-0.066760436,-0.48434895,-0.7274962,-0.30308634,-0.8007121,-0.5335519,-0.6416739,-0.28440762,-0.27767605,-0.05476135,-0.4977811,-0.15201198,-0.1453118,-0.3883935,-0.07889311,-0.4093665,-0.36923566,-0.2682038,-0.61433613,-0.13585907,-0.3604446,-0.47055236,-0.543249,-0.3218471,-0.3792138,-0.20655766,-0.13775797,0.4236282
1003256,-0.44991872,0.9759731,0.56255543,-1.1271765,1.2131863,0.045784548,0.36042923,-1.9179782,-1.1167895,-0.1527949,-0.054843098,0.6116105,0.40255582,-0.7271871,0.9479909,-0.22325715,1.2924787,0.9615554,1.0410566,-1.1078072,1.1916759,-0.8567784,0.1254985,-0.1378436,0.22191274,-0.12224884,-0.38445413,0.5635708,0.2760253,1.4775492,-2.2106507,0.17248869,-0.32451543,-0.07369199,0.20355494,0.047745325,0.7128479,0.20363861,0.86022776,-0.88470817,0.30854043,-0.7805328,-0.55318743,-0.016980778,0.23791267,0.17908162,-0.18549398,-0.605602,-0.39645505,0.5462601,0.9577452,-0.2688156,0.025331303,-0.4162599,0.2855028,-0.07862718,0.01827342,0.10341704,-0.390762,0.43232158,0.5051869,0.9235669,-0.8285183,-0.49319422,-0.0540456,-0.3286167,-0.07141452,-0.009633765,-0.2750402,0.02755674,-0.6421864,-0.45630166,-0.19479509,-0.34144542,-0.38017255,-0.27907842,-0.26084024,-0.49846858,-0.0010813326,-0.34168744,-0.15449542,-0.03404162,-0.57504493,-0.068004146,-0.14977571,-0.21445501,-0.022580598,-0.24122623,-0.035007343,-0.14195418,-0.16130441,-0.42592955,-0.13156104,-0.2956542,0.06873304,-0.100536495,0.20805973
1004007,-1.733144,-0.20523927,-0.934162,-0.025173664,1.1068857,-0.74478793,0.4255634,0.40246567,-1.2532971,-1.2962184,-1.4457692,-0.56999224,0.78354955,0.40088615,-1.6854136,-0.7139718,-0.6757953,2.9786203,2.617853,-0.9283071,0.9067924,-0.26135755,1.6347642,-0.6863817,0.8186608,0.8631764,-1.5557715,1.3735238,1.736532,1.2654912,-2.3630753,-1.1147693,-0.14276685,-0.28089193,0.24068704,0.20074727,0.22568335,0.12984055,0.51371574,-0.3933325,0.04967637,-0.46379825,-0.38453996,-0.2869176,-0.10267767,0.3387226,-0.08166193,-0.51961803,-0.06706622,0.13767365,0.48440915,-0.158454,0.35340795,0.04925586,0.075318284,0.07949038,-0.014638025,0.20371969,-0.11895808,0.079790965,0.25109532,0.49646324,-0.27992687,-0.2293541,-0.0054053105,-0.1873709,0.022749364,-0.013196424,-0.09615967,-0.021781411,-0.351499,-0.31238517,-0.074443445,-0.24806482,-0.24210292,-0.25291482,-0.045517262,-0.19850768,-0.0019602925,-0.21628141,-0.116185576,-0.13785426,-0.32453498,-0.058364738,-0.15201965,-0.16266009,-0.026883677,-0.16081615,-0.034606755,-0.166064,0.006948754,-0.30052593,-0.06106814,-0.1393231,-0.030643564,-0.07004578,0.6313268
1004800,0.9361729,-0.95434487,-0.7820486,0.32788554,1.177299,-0.8151784,0.51434857,0.09101501,-1.9742708,0.37141377,1.851603,0.34540874,0.562916,0.9719406,0.053293284,-1.0034772,-0.21868962,1.2116019,1.0817745,-0.3422836,0.004640013,0.49089783,0.6591274,-0.061670423,0.21445484,0.8353051,-0.75878567,1.1892154,0.17086007,0.07614219,-0.41010132,0.27005103,-0.139875,-0.45118782,0.31606564,0.2957427,0.13566503,0.030969497,0.5442125,-0.19800127,-0.02271995,-0.6452518,-0.26861522,-0.26646495,-0.11345499,0.40404755,-0.034208152,-0.48900193,0.054839663,-0.01926355,0.5044091,-0.19241343,0.39677787,-0.012570865,0.06454495,0.3098029,-0.0063121133,0.1818655,-0.008211009,0.16312678,0.29017797,0.5038179,-0.2920062,-0.19280437,-0.012759093,-0.23560195,0.0026757568,0.03660424,-0.122065365,0.01643885,-0.40359157,-0.3880284,-0.073566556,-0.26400766,-0.2943655,-0.29307342,-0.062965974,-0.15464883,-0.0940589,-0.25960475,-0.12673514,-0.15346044,-0.36444995,-0.090537995,-0.23942876,-0.17847508,-0.08455255,-0.14248644,0.011757951,-0.15925272,0.04033392,-0.38921624,-0.06464527,-0.25608197,0.02390892,-0.14011058,0.13342988
1011696,0.342871,-0.45726466,-0.47741544,0.5657847,-0.86296207,-2.0844958,-1.7031987,1.2325794,-0.9110063,1.4367524,0.9216768,0.03334517,0.8439555,-1.2833337,-0.39805773,0.6644318,-1.1352382,0.9324275,-2.519896,0.7999787,-0.10182264,-0.030811906,0.6250181,-0.2722813,0.35063416,-1.0960723,0.92427933,-0.057367504,-0.25207585,-1.1815094,0.55902976,1.7600619,0.29549575,0.04887461,-0.6089341,-0.26851556,-0.88091034,-0.51795983,-1.3587164,0.8546852,-0.50321543,1.2377907,0.8240236,0.15542,-0.20461227,-0.14327855,-0.17790392,1.0213315,0.6153129,-0.054413423,-1.3303708,0.79672587,0.0878588,1.0670288,-0.6177101,0.1111736,0.17196472,-0.18764783,0.4418314,-0.4324134,-0.44779447,-1.1274309,0.9525278,0.68355644,0.02637878,-0.83043045,-0.3692006,-0.7456444,-0.24776123,-0.13398996,-0.6324794,-1.0199102,-0.2861819,-0.95612794,-0.88007796,-0.8208756,-0.32964912,-0.31197572,0.09061521,-0.51833326,-0.16357042,-0.23217267,-0.7009553,0.07943641,-0.60631627,-0.5317268,-0.19264413,-0.73942184,-0.029105637,-0.3252781,-0.46117237,-0.85561407,-0.32657176,-0.7456862,-0.3976344,-0.1056817,0.65512407
1012034,0.68911314,-0.61939853,-0.5077374,1.1841164,-0.32807055,-0.41643322,-0.13705713,-0.23520254,-0.20314272,-0.060533106,1.3896645,-0.5742011,0.2615996,-0.04260665,0.4947998,-2.4938202,-0.53509283,0.5724055,0.7534347,-0.027218655,-0.47520494,0.13843223,1.2279963,0.5690656,0.2967559,0.88129425,0.652826,-0.39846665,-0.054082543,1.4478273,0.54085326,0.69721556,-0.20012453,-0.49113986,0.36733887,0.29389712,0.34171554,0.111999646,0.6947849,-0.2868187,0.019706383,-0.7270756,-0.42916214,-0.3169276,-0.10480613,0.5000618,-0.18233317,-0.58009386,-0.042365536,0.16192025,0.6316211,-0.18086043,0.41323745,0.0018004291,0.13196409,0.3102886,-0.047347784,0.19551443,-0.08942253,0.3478902,0.36593077,0.68202984,-0.4184515,-0.32590273,-0.039636333,-0.25023726,0.010245104,0.04363314,-0.103161976,0.04393907,-0.45838013,-0.3630678,-0.15023603,-0.25946122,-0.28722078,-0.3453796,-0.13873231,-0.26184404,-0.0357856,-0.3188247,-0.151287,-0.08828795,-0.42189208,-0.10288195,-0.301582,-0.2269058,-0.038586684,-0.17711905,-0.021444775,-0.1595995,0.015606217,-0.36667386,-0.11065303,-0.31604466,0.01459077,-0.1330889,0.18683231
1013103,1.2945237,1.0253048,-1.2864001,0.96825385,-0.56009185,1.2038872,0.9972869,-0.6236532,0.07388419,-0.16343078,1.7284417,1.3193188,1.3634508,-0.9748061,1.1292814,-0.3868505,1.1451179,0.23540579,-0.27323782,-0.018431634,-0.16745807,0.037869215,-0.8939413,1.3250172,0.90218747,-0.0006457269,-0.68011826,0.6985599,0.4559154,1.1306463,-1.0826147,-0.81457597,-0.10769676,-0.13249692,0.14800048,0.00045401603,0.21737611,0.027630549,0.34637475,0.015146323,0.0938688,-0.36955068,-0.012078568,0.01477935,0.076930106,0.0956417,-0.018714279,-0.18098351,-0.10861258,0.06950499,0.3158763,-0.20703936,0.009840447,-0.25279245,0.054025225,0.05086246,-0.101545125,-0.15164252,0.07191147,0.4069578,0.2150288,0.33598822,-0.27638888,-0.12122457,-0.03651898,-0.18158308,-0.080710545,-0.09566484,-0.09323692,-0.03401696,-0.26476747,-0.21823475,-0.14412466,-0.25068048,-0.19996718,-0.22651124,-0.0632429,-0.1527906,-0.09277626,-0.17340064,-0.036999777,-0.14519031,-0.20058474,-0.056000058,-0.1874989,-0.14667544,-0.054230385,-0.1845573,-0.007054303,-0.09484359,-0.0273659,-0.3268832,0.0017492939,-0.15108646,-0.05688068,-0.16896631,0.1186778
1015377,-0.8205016,-1.8275847,0.58960456,-0.37188113,-1.547571,0.09825426,0.18333465,0.14125082,1.0687623,0.056653798,-0.05087468,-1.206158,-0.87636536,0.4597111,-0.07670442,-2.0619686,-0.34908608,-1.7703545,0.6182401,-0.03271672,0.2757979,1.8674704,-0.0675102,1.1629181,-0.013719924,1.4016106,1.3997602,-0.8913696,-0.5349362,0.819581,1.6218677,-0.56676334,-0.036193863,-1.0340872,0.5852591,0.67590606,-0.41461304,0.27822244,0.58888423,-0.30751866,-0.59357977,-0.37546775,-0.48853934,-1.0382842,-0.6810013,0.8257299,-0.07989321,-0.53479564,0.49068615,-0.1502002,0.07176088,0.26510724,1.2125938,0.9695362,-0.047685534,0.69789517,0.02558583,0.8367692,-0.016324565,-0.5502904,0.09029339,0.24512887,0.055616986,-0.27306968,0.100176536,-0.15597486,-0.1335469,0.016632915,-0.059457548,0.055022195,-0.47224674,-0.540811,-0.018568382,-0.56592816,-0.4251876,-0.3955254,-0.03529549,-0.15950738,-0.034849197,-0.3262123,-0.15989995,-0.027537927,-0.43624827,-0.31227934,-0.4658997,-0.20633352,-0.07869955,-0.14348608,0.01888511,-0.38443,0.08535246,-0.43927026,-0.27352858,-0.37371528,0.0007491857,-0.18975493,0.25006932
1016890,1.0848488,-0.61103714,-0.13995276,2.7232594,-0.0942215,0.2099382,0.25533336,-0.3514521,0.22921935,1.8632239,0.3096884,0.62829816,-0.021317184,0.5925859,-0.061286405,-0.56425595,1.1914473,-0.86739063,-0.80090445,1.742188,0.041977733,0.66354907,-0.12339139,2.142486,-1.3193203,0.20538756,-0.6555939,0.6751237,1.7253408,0.40896285,0.17301103,-0.52771014,0.023743842,-0.3308143,0.11567141,0.35716304,-0.45239192,-0.012037426,-0.12434538,-0.14633131,-0.32442936,-0.0054453686,-0.044369087,-0.42601267,-0.35654062,0.3335645,0.104313016,0.034847826,0.5890344,-0.19889034,-0.26093775,0.2681221,0.5407192,0.62235594,-0.07804277,0.3202542,-0.0023545101,0.3869617,-0.09655916,-0.55538607,0.06805025,-0.30327505,0.23515789,0.14219527,0.0869605,-0.33188495,-0.10342802,-0.18885566,-0.04099361,-0.024141368,-0.23939526,-0.39698657,-0.11839271,-0.4284155,-0.24697316,-0.31647956,0.026207985,-0.055791594,-0.029673696,-0.17882589,-0.10151225,-0.18515489,-0.2989743,-0.086606726,-0.2872891,-0.3339662,-0.13212141,-0.24068011,-0.01866696,-0.21057358,0.007882759,-0.40136462,-0.12063119,-0.22655058,-0.17206821,-0.017764054,0.37434518
1018708,-0.06486207,0.051727057,-0.65652895,1.3860421,-0.9452584,-0.91490763,1.4828062,0.8831371,0.7477023,-0.9117071,0.40766424,0.34728256,-1.8240756,0.66336864,2.9291048,0.35011718,0.89381695,0.595305,0.067460865,1.4791332,1.466348,0.33038586,-0.08241794,-0.20829684,-0.80515957,0.43126184,0.32061148,0.06006039,0.034008354,-0.40412265,-1.5927869,0.20640327,0.048451748,-0.31825703,0.021729503,0.057053562,-0.4389142,-0.13229914,-0.20300327,0.4565611,-0.25237244,0.014281493,0.30727232,-0.17504504,-0.2242,0.16520347,0.08557762,0.2538563,0.3473586,-0.17838432,-0.32262713,0.17462018,0.25542507,0.32298887,-0.1908376,0.28942913,-0.032033384,-0.10771306,0.24672267,0.016385801,0.07330664,-0.23050497,0.2043111,0.18748447,0.074149236,-0.30577096,-0.10397923,-0.28608787,-0.061814986,-0.08216953,-0.24204776,-0.40567312,-0.15086813,-0.3811825,-0.26619273,-0.3180133,-0.07864581,-0.1314055,-0.037095457,-0.17291087,-0.07681282,-0.1715467,-0.28942564,0.0010777917,-0.2231246,-0.26658407,-0.11747697,-0.24181992,0.033542152,-0.17431076,-0.07602208,-0.42496568,-0.036561906,-0.18741867,-0.18777981,-0.14055894,0.48864937
