PID,bp_0.5_4_I,bp_0.5_4_II,bp_0.5_4_III,bp_4_8_I,bp_4_8_II,bp_4_8_III,bp_8_12_I,bp_8_12_II,bp_8_12_III,bp_12_20_I,bp_12_20_II,bp_12_20_III,bp_20_30_I,bp_20_30_II,bp_20_30_III,bp_30_40_I,bp_30_40_II,bp_30_40_III,reconstruction_error
1002688,0.071442135,0.0027084667,0.010420488,0.338278,0.28543207,0.21462834,-0.19715196,-0.25390956,-0.35387337,-0.7670951,-0.5899578,-0.6491878,-0.82326853,-0.79766357,-0.8747006,-0.86446786,-0.793705,-0.7841981,0.4236282
1003256,-0.11129922,0.007383704,0.023033377,-0.71892935,-0.8302168,-0.8422815,-0.73382336,-0.65565205,-0.8057414,0.7097627,0.7029316,0.84394467,0.39874735,0.4809128,0.61551404,0.6789186,0.7455315,0.7091221,0.20805973
1004007,-0.117715284,0.0020934455,-0.18405981,-0.9981817,-0.8389039,-1.0960464,-0.87712544,-0.8084881,-0.843246,1.5051256,1.521165,1.7422422,1.2906919,1.1373515,1.1092117,1.2168504,1.3657845,1.3277891,0.6313268
1004800,-0.136994,-0.0637414,-0.105136454,-0.34761387,-0.32040706,-0.38241905,-0.15303707,0.012822382,-0.11255007,0.4800212,0.5620324,0.6318522,0.50751245,0.44507182,0.4960117,0.49518123,0.58520925,0.5752277,0.13342988
1011696,0.7172143,0.7471724,0.69959825,2.3506145,2.306415,2.331246,0.4360393,0.48492005,0.50007045,-1.3557084,-1.4682624,-1.4472522,-1.7737528,-1.7394286,-1.7399515,-1.8404704,-1.8512487,-1.8777361,0.65512407
1012034,-0.16353774,-0.18179576,-0.17318854,-0.25114024,-0.26864177,-0.24919547,0.14375865,0.12667145,0.10393511,0.2760075,0.3533435,0.34171796,0.40114647,0.3500296,0.31535438,0.44071844,0.4816598,0.43135718,0.18683231
1013103,0.15664913,0.13029744,0.18290208,-0.23931715,-0.25015736,-0.24281703,-0.32472363,-0.2138994,-0.33304483,0.33584842,0.4108628,0.418693,0.12610777,0.19520785,0.16839921,0.27686718,0.33789727,0.30703118,0.1186778
1015377,-0.4140529,-0.4438803,-0.4265295,-0.1693697,-0.16241235,-0.13329479,1.4163436,1.3102039,1.4247475,0.32970604,0.31998733,0.29731596,0.9553368,0.9648606,1.0407516,0.6123704,0.55279285,0.54986817,0.25006932
1016890,-0.30149788,-0.24189214,-0.32346877,0.08499034,0.0069958903,0.05190569,0.80712754,0.94803715,0.90612173,0.14602926,0.05269439,0.08934076,0.46327087,0.51159227,0.4834322,0.43476793,0.5467349,0.49226364,0.37434518
1018708,-0.09579094,-0.05092736,-0.04521093,0.22261408,0.009582393,0.23631382,0.86416525,0.9958539,0.8794858,0.06482802,0.055491604,0.09696486,0.44393086,0.6180035,0.5174784,0.3152498,0.40786505,0.42381272,0.48864937
1019264,0.058457278,0.0017967355,-0.035633888,-0.63038707,-0.49329412,-0.5999124,-0.47535276,-0.5531314,-0.50249946,0.6729536,0.6531409,0.71726394,0.49396107,0.2930706,0.29289842,0.5663005,0.6035687,0.58825904,0.04037224
1019533,0.072889544,-0.029145647,-0.0054517947,-0.22454041,-0.20546143,-0.18790509,0.18833259,0.31861806,0.24278697,0.40527338,0.48298475,0.51454055,0.55870914,0.48860848,0.48891017,0.43193206,0.49749082,0.4967,0.1722657
1019875,-0.35037208,-0.24681394,-0.2923972,-0.28278127,-0.30520397,-0.29398614,0.07506532,0.024016157,-0.06548052,-0.016605347,-0.07104651,-0.05651833,-0.009007148,0.039854467,0.03387045,0.21136943,0.19553027,0.22054952,0.12769681
1022717,0.15676975,0.29064506,0.26714918,-0.64643353,-0.59651685,-0.682097,-0.59520143,-0.48932365,-0.542914,1.0494483,1.0609342,1.031914,0.62862676,0.6900786,0.6834377,0.7661124,0.78358054,0.8231604,0.32351708
1025716,-0.20656785,-0.119418964,-0.21167462,-0.69178855,-0.7105462,-0.5878009,-0.5972766,-0.5175236,-0.62662715,0.6709675,0.7554052,0.721455,0.495971,0.545721,0.47100624,0.6421133,0.71474946,0.66057914,0.57445276
1027707,-0.30754888,-0.3354153,-0.40611193,-0.7388794,-0.7831871,-0.7566775,-0.33263636,-0.40319344,-0.33849564,0.6537464,0.59173226,0.72317785,0.64171845,0.71069497,0.57485867,0.8556046,0.9249768,0.8685924,0.13873471
1033544,-0.2942604,-0.20595405,-0.13210821,-0.06666189,-0.13244939,-0.020317785,0.67132443,0.6227104,0.5740491,-0.046206173,-0.053385966,-0.10262628,0.2504455,0.29612112,0.3012654,0.30352184,0.34040743,0.27252972,0.4966365
1033769,0.028043896,0.12523355,0.059634715,-0.31699657,-0.35420382,-0.36889225,-0.12054771,-0.12911701,-0.15147221,0.46010265,0.44322106,0.5039819,0.3112447,0.2793275,0.2979723,0.45221248,0.46195555,0.38280305,0.4166799
1034964,-1.0253979,-1.0407624,-1.0840154,-0.6439476,-0.6703547,-0.7529042,-1.4104322,-1.5570652,-1.5343919,-1.3464968,-1.4633967,-1.4039887,-1.5591971,-1.6136103,-1.511374,-1.5829741,-1.5896149,-1.5525435,0.13492139
1036119,-0.24081242,-0.22875808,-0.23769112,0.0038539954,-0.024345625,0.022724155,0.584579,0.52115685,0.5150226,0.08905321,0.20988272,0.10841953,0.47543305,0.32000107,0.4350487,0.31391415,0.41053712,0.39209872,0.13341244
1040453,-1.005056,-1.0354332,-0.8693738,0.11572317,0.025975276,0.07393778,1.8281051,1.6656178,1.8585591,-0.036343683,0.11630282,-0.017383583,1.0069627,1.0422256,0.99892175,0.7651316,0.6608806,0.5796121,0.45620844
