PID,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,mu9,mu10,mu11,mu12,mu13,mu14,mu15,mu16,mu17,mu18,mu19,mu20,mu21,mu22,mu23,mu24,mu25,mu26,mu27,mu28,mu29,mu30,mu31,mu32,logvar1,logvar2,logvar3,logvar4,logvar5,logvar6,logvar7,logvar8,logvar9,logvar10,logvar11,logvar12,logvar13,logvar14,logvar15,logvar16,logvar17,logvar18,logvar19,logvar20,logvar21,logvar22,logvar23,logvar24,logvar25,logvar26,logvar27,logvar28,logvar29,logvar30,logvar31,logvar32,reconstruction_error
1002688,-0.17510876,0.60719395,-0.94486773,0.15267724,1.3702186,0.4685362,0.4605834,0.22763276,-1.5466243,-0.82571554,0.55310637,-0.36452964,-1.3201113,-0.92846674,-1.9721912,-1.6612782,-0.111457944,-1.2770746,-1.1437312,-0.40700638,-0.09862727,0.47281715,0.6632842,-0.87887836,-0.60029846,-0.7564267,-1.2226685,1.6030682,0.3659501,1.8583703,-1.1972936,-0.5129955,-0.21568312,0.8934149,-0.34152618,-0.04071299,0.19138613,-0.5923341,0.63047206,-0.062935255,-0.7022499,0.25099877,0.55408764,-0.06225433,-0.122122064,-0.12585443,-0.1136661,-0.21253987,-0.36312306,-0.22318381,0.12907735,-0.032515973,-0.54939204,0.35191453,-0.23853952,0.1308606,-0.8914586,-0.45179448,-0.50787306,0.04840682,-0.15553015,0.41327876,-0.035087038,-0.6741849,-0.08942455,-0.27347165,-0.24278231,-0.14763205,-0.07591172,-0.08884499,-0.121972665,0.010610722,-0.07817818,-0.10847426,-0.16650999,-0.053840082,0.11356519,-0.07422994,-0.015547803,0.054665495,-0.09410426,-0.061427847,0.0011427328,0.01842243,-0.028107405,-0.061191924,-0.0036304207,-0.014257843,-0.18879762,-0.06939273,-0.17858353,0.012081191,0.0061486866,-0.08612372,0.014536917,-0.0046823993,0.10242456
1003256,1.623165,-0.4481335,0.08778578,1.7648053,-0.23169604,-0.20273986,-0.35816446,1.4761676,0.6239864,-1.4726176,-0.12233782,0.509933,0.29280436,1.17777,0.47632313,-0.061686367,0.016731977,1.4945929,0.5239568,-0.1955452,-0.12789454,-0.9828919,0.93765616,1.2035991,1.0234678,0.9065243,0.895087,0.8925437,0.70388395,-1.0239916,1.1636932,1.1933208,0.11394355,-0.50174415,0.33971554,0.00868088,-0.12753767,0.35985968,-0.33979708,0.087460905,0.33956993,-0.039653875,-0.3037719,0.24672388,0.06918923,0.16029893,-0.0068271095,0.17204286,0.21503086,0.2019728,0.04794744,-0.0053358227,0.15554465,-0.2282328,0.14052668,-0.06877218,0.47665122,0.21745306,0.41546285,-0.01581503,0.095495105,-0.07176432,0.09754272,0.4466246,0.002287209,-0.13465624,-0.06890946,0.028669681,0.007519098,-0.012871062,-0.052792,-0.053998135,-0.1687386,-0.03248988,-0.07223852,-0.02526785,-0.045179494,-0.031768486,-0.026995827,-0.024315123,-0.14576685,-0.015584908,-0.06375322,-0.008617646,-0.048977807,-0.104723066,-0.017840434,-0.036612995,-0.23587039,-0.049961492,-0.14783394,-0.03573328,-0.041216012,-0.006778799,0.055851035,-0.16591647,0.3858703
1004007,0.06783478,-0.34125116,-0.82831156,-1.3414865,-0.110657185,0.536026,0.4347638,1.9116914,0.11435592,-0.48488387,0.48120895,0.8513558,0.9510489,0.85329765,1.1388354,-0.15704498,-0.47802526,0.18039894,1.8717122,-0.25203192,-0.513608,-0.6941225,0.16824321,-0.7267098,1.3262589,-1.0710521,-0.38371903,0.6839823,-1.2301754,-0.7920964,1.5400296,-1.4933763,0.1336345,-0.45287317,0.23579392,-0.016676486,-0.050127417,0.37795448,-0.23616053,0.16665217,0.37051836,-0.015084326,-0.1544672,0.062270865,0.10733223,0.08812563,0.08200144,0.13337064,0.17777044,0.1083682,-0.013167147,0.040374562,0.11090782,-0.19582371,0.1140853,-0.13722752,0.4463987,0.19658178,0.38298237,0.014037073,-0.005183884,-0.055820003,0.04946308,0.38065854,0.012350671,-0.09238355,-0.060687542,0.023350354,0.024351628,-0.019485425,-0.06694672,-0.01126086,-0.08286972,-0.0117570665,-0.050574206,-0.025406536,-0.0056170635,-0.04425224,-0.059150632,-0.031952735,-0.06393103,-0.003977895,-0.004006833,-0.008561099,-0.004035525,-0.046150893,-0.014794346,0.014472244,-0.17792383,-0.03873209,-0.039585326,0.009132676,-0.027943254,-0.024997205,0.07063551,-0.04896298,0.14114675
1004800,0.13103431,-0.06474656,-0.5683359,0.55067027,-0.6103826,-0.96975875,-0.59234625,0.19685341,0.76870584,1.1333202,-0.13008136,0.36804995,-0.020091608,0.20988682,0.8907808,-0.51884556,-0.62045443,0.96965694,1.6755128,1.9668515,-1.5684954,0.27756774,-0.12205602,0.07954824,0.7583836,0.120807335,-1.3538661,0.62348515,-0.66476023,-1.6095248,-0.9796167,0.41522673,0.09879956,-0.4301159,0.23553184,-0.01723919,-0.06823151,0.37620473,-0.22578935,0.16276342,0.35552722,-0.01604142,-0.17945212,0.049692094,0.115510404,0.08430144,0.09424852,0.12666938,0.17178246,0.09533085,-0.016068168,0.023248723,0.15496942,-0.1591578,0.13912748,-0.12616162,0.41916013,0.19013238,0.35656247,-0.013292596,0.0011820141,-0.06947236,0.023345195,0.42627835,0.012363203,-0.106704056,-0.057583004,0.030782599,0.038049653,0.0012101922,-0.05178593,-0.029778257,-0.097745284,-0.0069160014,-0.048656866,-0.04290262,-0.022418179,-0.0111609325,-0.054828785,-0.012090471,-0.09160965,0.006287575,-0.0229804,-0.009261912,-0.02790445,-0.061301023,-0.0024320888,0.008814886,-0.19896534,-0.036967933,-0.04147455,-0.019780088,-0.021758556,-0.019582815,0.09537358,-0.075088516,0.45197138
1011696,0.95675087,-0.41923428,0.2400302,0.5649081,-0.48096263,-1.1104622,0.41098613,-0.85100114,-0.6611678,0.099759005,0.4273848,0.14881068,-1.6641877,1.0061306,-0.004076531,-0.88277864,0.571082,-1.8138359,-1.0264752,-0.7579589,-0.37173033,1.1441274,-0.29051673,0.53400075,-1.7919811,-0.82335323,0.29198313,2.9275694,-0.50291896,1.6209497,-0.04698112,-2.1910892,-0.31262228,1.1820465,-0.45702514,-0.095832,0.1464441,-0.65788466,0.6899846,0.021561578,-0.827458,0.18451098,0.774389,-0.16464022,-0.08347982,-0.19616248,0.015057357,-0.23093164,-0.3704737,-0.36095458,0.020339027,-0.1071614,-0.46826655,0.58448946,-0.16674013,0.004974734,-0.9846459,-0.59702325,-0.74730086,0.039320126,-0.16141972,0.31887746,-0.06387763,-0.74262035,-0.041541375,-0.26310843,-0.20870483,-0.12994033,-0.049395926,-0.2181718,-0.17977092,0.0077373944,-0.042969335,-0.1800126,-0.1763758,-0.018109858,0.09408873,0.023599885,-0.006643644,0.0487884,-0.012021018,-0.009854116,-0.07791731,-0.07822157,-0.07472026,-0.1127511,0.05127524,0.00797805,-0.3325255,-0.1068923,-0.18979892,0.060491547,0.07112201,-0.0837055,-0.055919036,-0.05685532,1.2906165
1012034,-0.88548625,-1.7231233,0.41009176,-0.8005526,-0.60083306,-0.1266655,-2.0485005,-0.14626506,-0.10778332,-0.4458854,-0.68900263,-0.22054365,0.272332,0.9816763,0.7955902,-0.2657254,0.8406051,0.46703124,-0.7517675,1.6497313,1.311136,1.3207828,-0.104253516,0.048471406,0.8640784,-0.6533864,3.301169,-0.8999161,-0.6773217,-0.2362029,-0.30846894,0.4044119,0.13758913,-0.46802348,0.26395425,-0.03104002,-0.1084294,0.39704785,-0.28252655,0.16556963,0.44086748,-0.038898163,-0.22452661,0.08034518,0.09494522,0.09150867,0.1282692,0.16286364,0.22129364,0.13202922,-0.030579653,0.0016556066,0.17943953,-0.16845277,0.14631332,-0.14325267,0.51197475,0.2042755,0.40804413,0.023422819,0.018432086,-0.053599894,0.027795903,0.49736595,-0.0049834438,-0.11519018,-0.05372382,0.030945364,0.068847634,0.048754487,-0.06879218,-0.05982755,-0.06995402,-0.022745293,-0.050768636,-0.010388747,-0.020470347,0.022120483,-0.049282897,-0.034301896,-0.1092232,-0.029510647,-0.02156587,-0.021153864,-0.04232692,-0.08894306,-0.01634911,-0.030463202,-0.23193184,-0.08598679,-0.079828605,-0.036721017,-0.024909126,0.00091302395,0.049505904,-0.12971061,0.054748453
1013103,-0.18291877,0.16764781,0.47875702,0.552059,0.42601943,0.8963763,1.665574,0.9422294,0.41639078,-0.40977037,-0.19871901,0.21641125,0.9501811,1.5971408,0.8735309,-0.81754464,-1.1909674,-0.79263496,1.1235181,0.6818344,-0.29929483,1.4483088,0.983676,-1.1586487,0.85357213,-0.8922818,0.14294219,-0.1008275,0.53582865,0.057211116,-0.102022454,0.011000067,0.056016013,-0.24945667,0.107036784,0.04517349,-0.062416717,0.19711448,-0.11075489,0.06964276,0.20882377,-0.008819256,-0.10887332,0.08024791,0.029248968,0.041308414,-0.012233905,0.029584013,0.11270089,0.08948095,0.017373087,-0.021846414,0.053250983,-0.04836257,0.07565755,-0.013399921,0.23525211,0.1292337,0.1851163,-0.038384248,0.04929531,-0.017486393,0.042548057,0.22263584,-0.034709007,-0.08032127,-0.03892831,-0.0022985078,-0.007147649,-0.0022942587,-0.059850022,-0.028583057,-0.0645345,6.789714e-05,-0.023025617,-0.03294649,0.006675856,-0.045196425,-0.028353993,0.02861921,-0.0802121,-0.06631151,0.01271338,0.0015392387,-0.0062020943,-0.073297754,0.0014212024,-0.025271634,-0.15915018,-0.041705355,-0.09234901,0.029759608,-0.019208629,-0.04234452,0.038754478,-0.08340469,0.15284236
1015377,1.2985609,1.0501897,-0.98700404,0.9865009,1.3042748,1.8753647,-0.7442257,-0.52360183,1.0390315,-2.2835128,0.81066465,-0.6151211,-1.416877,1.3889621,-1.4419594,2.0470254,-0.22657868,-1.451211,-0.24190894,-0.035834692,-0.49902177,-0.57946247,0.8852402,-0.20341325,-0.10959035,-0.0074493736,0.45055345,2.8432417,-0.3916105,-0.18390138,-0.7020593,0.027706504,0.23532179,-0.57597226,0.25599083,-0.17214328,-0.00765457,0.5370836,-0.36394763,0.39069653,0.6507934,-0.13666603,-0.1594145,-0.1801499,0.24500313,0.03818131,0.28749317,0.27221948,0.245852,0.006787725,-0.18561359,0.09951662,0.22683816,-0.25817692,0.15477507,-0.42258376,0.8178933,0.22008994,0.53538305,0.19298296,-0.17170656,-0.12041965,-0.055400264,0.6820166,0.13050082,-0.15116483,-0.025825664,0.102109104,0.09892846,0.04685231,-0.10735119,-0.07317344,-0.051403876,-0.019582322,-0.059684522,0.070643,0.03582853,0.039444014,-0.023052529,-0.043000665,-0.072651,0.028750569,-0.01969061,-0.052115154,-0.09052573,-0.010786219,-0.016974315,0.006641427,-0.22966185,-0.023493767,0.027034834,-0.010164723,-0.06773995,0.037872404,0.046514943,-0.11439364,1.0295249
1016890,-0.3594271,-1.16691,-2.1744528,-0.9576062,0.44761994,-0.09793992,0.20307988,0.44797093,-0.07860331,0.40644833,-0.5763791,0.053303882,0.21118852,-1.1294259,0.114547536,-1.0873065,0.27331823,0.5850601,0.037672505,0.1726361,-0.27207685,0.92509556,-0.07792869,1.1118475,-3.3711803,-0.24683374,-0.78518873,-0.0018187743,1.1527337,-1.766481,0.7399872,0.20463222,0.0135138,-0.04521837,-0.045379613,-0.018454537,0.09128854,0.067640394,0.026574409,0.16475311,0.13094185,-0.039825894,0.072416015,-0.18212041,0.07566736,-0.083145574,0.07763707,-0.030798888,0.016248412,-0.07678655,-0.07787876,0.01671158,-0.03881999,0.016326886,0.016287107,-0.06216097,0.122946635,0.06342283,0.022314733,0.016650919,-0.1184141,0.07013039,-0.029784616,0.115416266,-0.025699563,-0.1127743,-0.100151695,-0.004691761,-0.016058164,-0.008547377,-0.06683785,-0.018123306,-0.038099732,0.01842413,-0.0013719201,0.019102752,0.054436103,-0.071820684,0.02586413,0.059746325,-0.06082979,-0.020233586,0.0053116605,0.0062129167,-0.0109670535,-0.0009465143,-0.0019022645,0.035924762,-0.11317746,0.030811258,-0.042586748,0.052344806,-0.013870931,-0.041111693,0.048331954,-0.026965141,0.86642337
1018708,0.57904816,1.7001902,-0.3290212,1.4092672,0.8108564,-0.15695655,-1.1002306,-0.54870117,-0.68820536,0.0675797,1.3412578,-1.9332181,0.35789025,1.2210083,0.7233551,-0.045403324,-0.07630929,0.31726587,-0.69513726,-1.2348639,-0.17513879,-0.52622896,1.3358873,1.6228197,0.57628316,0.70349205,1.1351217,0.8454889,0.6044789,0.17397988,-0.593121,-0.22864118,-0.044762272,0.16040254,-0.15439367,0.018820465,0.038668647,-0.06574821,0.17856872,0.11902456,-0.02953004,0.014045704,0.16345507,-0.11426112,0.016331926,-0.07742949,0.008427904,-0.09265005,-0.023544617,-0.042547937,-0.047738407,-0.0066576637,-0.1141088,0.16864608,0.021056175,0.022641987,-0.08535985,-0.03010413,-0.092531234,-0.043111373,-0.05749817,0.0041293614,-0.03995623,-0.013930539,-0.01978691,-0.14856084,-0.080988504,-0.017684542,-0.05672664,-0.05123892,-0.07026446,-0.058473304,0.0028736293,0.021006087,-0.034069814,0.00028543174,0.037939098,-0.06648948,0.013223395,0.06262627,-0.040031597,-0.045616306,0.006359875,0.019160736,-0.017800257,-0.034627218,0.023295969,-0.022290358,-0.0859092,0.021600164,-0.053528234,0.03698732,0.032383762,-0.066392206,-0.014769051,-0.03463395,0.3721366
