PID,reconstruction_error
1060577,2.5648448
1069285,2.4175951
1057644,2.120304
1067855,1.7968345
1040453,1.6753211
1046829,1.6168439
1094231,1.4782987
1025716,1.347398
1011696,1.2906165
1019533,1.1166657
1015377,1.0295249
1074157,0.9873577
1016890,0.86642337
1050464,0.81327313
1079457,0.7596401
1094429,0.72782403
1097234,0.71392083
1073272,0.7010985
1055909,0.5751679
1064528,0.5701392
1033769,0.52575815
1034964,0.5142869
1053513,0.5076207
1022717,0.49031782
1063403,0.4666225
1004800,0.45197138
1072991,0.4465915
1042391,0.42344436
1003256,0.3858703
1018708,0.3721366
1078147,0.35562935
1079813,0.3433795
1056309,0.32660386
1033544,0.3003235
1070513,0.28228757
1087328,0.26217997
1099786,0.25024903
1036119,0.24268357
1070083,0.20956305
1027707,0.18904454
1019875,0.18823355
1080030,0.18790883
1067759,0.16807815
1013103,0.15284236
1004007,0.14114675
1087599,0.1342294
1043355,0.13028851
1071667,0.12463135
1047831,0.1198732
1002688,0.10242456
1019264,0.073227756
1012034,0.054748453
