PID,bp_0.5_4_I,bp_0.5_4_II,bp_0.5_4_III,bp_4_8_I,bp_4_8_II,bp_4_8_III,bp_8_12_I,bp_8_12_II,bp_8_12_III,bp_12_20_I,bp_12_20_II,bp_12_20_III,bp_20_30_I,bp_20_30_II,bp_20_30_III,bp_30_40_I,bp_30_40_II,bp_30_40_III,reconstruction_error
1002688,0.17801327,0.19040644,0.1417326,0.93741757,0.97564805,1.0494415,-0.06698872,-0.138424,-0.08322726,-1.2074432,-1.2150882,-1.0143957,-1.2552247,-1.3425809,-1.3683424,-1.4571679,-1.3587079,-1.4579451,0.10242456
1003256,0.097035125,-0.009294163,0.045372073,-0.48475736,-0.45540035,-0.45753458,0.12296786,0.06468114,0.055680014,0.57464117,0.59626216,0.68233895,0.8039869,0.8171494,0.7642129,0.7638175,0.730226,0.77976584,0.3858703
1004007,0.06794691,-0.13985848,-0.027353853,-0.23657101,-0.01825751,-0.15537162,0.22571996,0.19752178,0.16025221,0.12166918,0.2120074,0.27545333,0.31032574,0.28737262,0.31791973,0.15975118,0.17968746,0.29183066,0.14114675
1004800,0.031531077,0.044867974,0.0061702393,0.031795982,0.14359352,-0.024032582,-0.06304326,-0.076922014,-0.032412376,-0.087097935,-0.107729055,-0.095437914,-0.12321068,-0.07134344,-0.09884987,-0.15291953,-0.0758438,-0.14558844,0.45197138
1011696,-0.03414835,0.022880372,0.1868388,0.944859,1.0645883,1.0882919,-0.35256764,-0.33376715,-0.32790494,-1.3467286,-1.2933686,-1.1926765,-1.6319984,-1.5913453,-1.638543,-1.5980978,-1.8586518,-1.7616686,1.2906165
1012034,-0.0049434826,-0.06909944,0.03997321,-0.5627314,-0.54754055,-0.5183921,0.24940813,0.36277077,0.2784289,0.70343256,0.7058434,0.68253136,0.9750387,0.96647984,0.93436486,0.96230423,0.8289803,0.93100095,0.054748453
1013103,0.22234608,0.28287804,0.15901774,-0.041815586,0.112496085,0.017287713,0.23369375,0.21752319,0.17052126,0.1398737,0.12125225,0.20802258,0.31929576,0.15987723,0.19372134,0.02543715,0.17645258,0.05032871,0.15284236
1015377,-0.24800768,-0.03109752,-0.0039756,0.049674854,0.004107952,-0.075194545,0.21325108,0.0905806,0.20215774,0.16584992,0.23772019,0.13686092,0.16640928,0.23710142,0.26412988,0.18607233,0.05575106,0.06225793,1.0295249
1016890,0.22480522,0.24611884,0.2902193,0.73652506,0.46150845,0.52552515,-0.05687075,-0.06428625,-0.08313343,-0.7403941,-0.7066001,-0.7092051,-0.9928301,-1.0406816,-0.9436905,-0.8981074,-0.91861916,-0.8302882,0.86642337
1018708,0.08825092,0.16651645,0.08853586,0.19727081,0.07196666,0.12342111,0.096901454,0.1348498,0.11485573,-0.10045845,-0.023503296,0.00020393729,-0.050107412,0.010940418,-0.086895,-0.21083467,-0.0674021,-0.089331776,0.3721366
1019264,0.054902274,-0.058625158,0.060904484,-0.49195862,-0.5048988,-0.52770096,0.17034104,0.23768085,0.19992605,0.55422014,0.64388865,0.65154237,0.7665699,0.7832955,0.8349393,0.8332493,0.7198514,0.82256544,0.073227756
1019533,-0.09854221,-0.0045730695,0.005097855,0.33156386,0.3428021,0.29045355,-0.05306886,-0.062469758,-0.036276393,-0.5042851,-0.37673232,-0.4978066,-0.6327769,-0.5082537,-0.48669556,-0.56438655,-0.68758047,-0.52954596,1.1166657
1019875,-0.04218592,-0.045375723,-0.019156568,-0.31103903,-0.37546164,-0.3788799,0.22054023,0.20961756,0.20722142,0.5891579,0.56889135,0.5102198,0.60636866,0.6924665,0.6745368,0.64927644,0.5514777,0.61128974,0.18823355
1022717,0.22303466,-0.07052219,-0.019242413,-0.38475516,-0.40295807,-0.3506422,0.0034065284,-0.03201746,-0.08718235,0.5063699,0.53112173,0.6436301,0.35805857,0.50119096,0.5475505,0.5697214,0.45169532,0.47152057,0.49031782
1025716,0.21309899,-0.0012703314,0.059102368,-0.114396706,0.018545503,0.007006116,-0.20077926,-0.27925235,-0.23820624,-0.068111084,-0.038869344,-0.017365381,-0.3379867,-0.26348794,-0.1323217,-0.09371237,-0.17546542,-0.18522581,1.347398
1027707,-0.053328943,0.1761441,0.17303415,-0.23851013,-0.4693799,-0.5934045,0.34621525,0.3789762,0.37504548,0.5193492,0.60619205,0.5125636,0.74716914,0.7484921,0.8724788,0.66068417,0.7464377,0.7159668,0.18904454
1033544,0.013474289,0.05946172,-8.4441155e-05,-0.09229228,-0.0028537512,-0.035173465,-0.18679425,-0.13042359,-0.12885344,0.10084369,0.068589,-0.008148365,-0.045806836,0.020359436,-0.03829304,-0.06254684,-0.083567075,0.008555422,0.3003235
1033769,0.18256356,0.008958243,-0.0052860975,0.098260604,0.00027984753,0.10141773,0.30992675,0.31839705,0.20045379,0.15230085,0.20958704,0.20197552,0.19721061,0.3186942,0.31811595,0.15251172,0.21554504,0.122713976,0.52575815
1034964,0.14292519,0.07450729,0.07216422,0.2756639,0.27494282,0.21966732,-0.109218344,-0.13813308,-0.076996274,-0.46873266,-0.538293,-0.55722296,-0.7924025,-0.7276757,-0.6015399,-0.592092,-0.5865641,-0.5708115,0.5142869
1036119,0.026409369,-0.0814576,0.044306125,-0.30058676,-0.2147305,-0.15196875,0.2101528,0.24073058,0.23414925,0.43675932,0.4325368,0.41087142,0.5925704,0.6511543,0.595459,0.45588368,0.4459147,0.4634966,0.24268357
1040453,0.0049375556,-0.042823944,0.0360475,-0.14918081,-0.24535224,-0.24492276,0.33924326,0.3724,0.37415388,0.41902664,0.47893268,0.47583303,0.6570432,0.71147627,0.6790588,0.42540345,0.4849897,0.6095497,1.6753211
